epoch,loss_global,loss_local,loss_normal,step,train_loss,val_loss
0,,,,9,51.41179352960896,
0,,,,19,56.99965872394819,
0,,,,29,53.7906122873713,
0,,,,39,49.23850089423351,
0,,,,49,48.0520967643233,
0,,,,59,51.52794872945374,
0,,,,69,45.77627228137476,
0,,,,79,48.19860140540073,
0,,,,89,46.59038217955079,
0,,,,99,44.23839252564265,
0,,,,109,45.67426945743384,
0,16.068647384643555,22.39828937987683,9.060283660888672,112,,47.52721935729382
1,,,,119,43.26933484163288,
1,,,,129,40.335747219942995,
1,,,,139,39.967380931284524,
1,,,,149,39.95831869189165,
1,,,,159,41.3027375088287,
1,,,,169,38.70149789755165,
1,,,,179,40.670310868986974,
1,,,,189,39.34987328359104,
1,,,,199,40.9682580346654,
1,,,,209,40.91093264247961,
1,,,,219,40.57902733827005,
1,14.417557716369629,19.980889531793615,10.948266983032227,225,,45.34671190423014
2,,,,229,39.71932425726057,
2,,,,239,38.973914424607685,
2,,,,249,36.446222674482506,
2,,,,259,39.33981751235643,
2,,,,269,38.06236035612815,
2,,,,279,38.604873401100534,
2,,,,289,38.50978587224243,
2,,,,299,35.56116660475974,
2,,,,309,37.095021422589554,
2,,,,319,35.07305346933231,
2,,,,329,37.76455812683879,
2,13.510440826416016,18.751560412598916,11.686004638671875,338,,43.94800534362919
3,,,,339,35.58916821461827,
3,,,,349,36.52157274646545,
3,,,,359,35.82746612340331,
3,,,,369,37.068423609139,
3,,,,379,35.06072917215896,
3,,,,389,35.3284671235741,
3,,,,399,35.23591677236577,
3,,,,409,36.560187911606526,
3,,,,419,34.974355706442104,
3,,,,429,34.72861286258926,
3,,,,439,34.032150467719674,
3,,,,449,34.30053123391754,
3,13.031468391418457,18.645469191282967,12.49697494506836,451,,44.17391527435181
4,,,,459,34.23941221381551,
4,,,,469,36.867689425194655,
4,,,,479,36.18973186507522,
4,,,,489,34.74278122124464,
4,,,,499,33.5304343725761,
4,,,,509,34.206720945728996,
4,,,,519,33.62833309649632,
4,,,,529,33.780701165095834,
4,,,,539,34.74527894149995,
4,,,,549,33.82346132247209,
4,,,,559,33.22400603326989,
4,12.715998649597168,18.350360130177016,13.091714859008789,564,,44.158073867664804
5,,,,569,33.16560398102911,
5,,,,579,34.4851951378847,
5,,,,589,33.4588967054648,
5,,,,599,34.433636428345665,
5,,,,609,33.69912453498448,
5,,,,619,35.71969353262888,
5,,,,629,34.23333704521792,
5,,,,639,32.794284032700716,
5,,,,649,33.23169615796965,
5,,,,659,33.542313505929954,
5,,,,669,32.74730392453208,
5,12.528738975524902,17.973596302762967,12.898713111877441,677,,43.40104816128348
6,,,,679,33.1631805250434,
6,,,,689,34.96829864169881,
6,,,,699,34.85544724380072,
6,,,,709,33.570180259048996,
6,,,,719,32.999862461129936,
6,,,,729,33.66519618296253,
6,,,,739,33.95660733166088,
6,,,,749,34.617325667243904,
6,,,,759,32.75244286426933,
6,,,,769,32.96221304566556,
6,,,,779,32.15688013711052,
6,,,,789,32.56188989578757,
6,12.269317626953125,17.86761396210376,13.027499198913574,790,,43.164430482794685
7,,,,799,33.198145624369744,
7,,,,809,34.25422222712895,
7,,,,819,32.42007643380552,
7,,,,829,33.50942748624793,
7,,,,839,33.320890800533675,
7,,,,849,33.71295379026155,
7,,,,859,32.69650929208395,
7,,,,869,33.896695312038915,
7,,,,879,32.97091926426279,
7,,,,889,32.15333698617277,
7,,,,899,33.60585607882134,
7,11.894428253173828,17.545599095744343,12.915621757507324,903,,42.35564990751192
8,,,,909,34.61872071291086,
8,,,,919,33.46677580577394,
8,,,,929,32.789269996824814,
8,,,,939,32.377024632763174,
8,,,,949,35.23946642608823,
8,,,,959,32.12238364417555,
8,,,,969,31.850213709747255,
8,,,,979,32.91425918685167,
8,,,,989,32.454902151547074,
8,,,,999,33.66014129949625,
8,,,,1009,34.5576283597328,
8,11.778480529785156,17.681384045040655,12.9587984085083,1016,,42.418661915218884
9,,,,1019,33.36885584234156,
9,,,,1029,34.107440787154275,
9,,,,1039,32.99396249802176,
9,,,,1049,31.646183875311003,
9,,,,1059,33.85020883846584,
9,,,,1069,32.52120115413903,
9,,,,1079,31.857489763304535,
9,,,,1089,31.214727682965925,
9,,,,1099,32.69701962043197,
9,,,,1109,33.23836890977145,
9,,,,1119,32.1654060409706,
9,,,,1129,27.990898030040263,
9,11.691579818725586,17.91320772239839,12.851318359375,1129,,42.45610551902925
10,,,,1139,33.75065425850485,
10,,,,1149,32.60543887416476,
10,,,,1159,34.20138313443269,
10,,,,1169,31.316680032175988,
10,,,,1179,32.51983546514806,
10,,,,1189,31.938202931421095,
10,,,,1199,31.946966931725814,
10,,,,1209,31.802125483805916,
10,,,,1219,33.59983030299074,
10,,,,1229,31.78609267348805,
10,,,,1239,31.173437887269085,
10,11.488242149353027,17.848275199573276,12.806251525878906,1242,,42.14276948515677
11,,,,1249,32.429194954700876,
11,,,,1259,31.48725626041503,
11,,,,1269,32.339802380166034,
11,,,,1279,32.387916018954485,
11,,,,1289,30.263127304866725,
11,,,,1299,31.179355741486106,
11,,,,1309,31.365683516153986,
11,,,,1319,32.04686435887852,
11,,,,1329,33.85447326714129,
11,,,,1339,31.16940106703359,
11,,,,1349,31.41913368090558,
11,11.369407653808594,17.54964991576315,12.954279899597168,1355,,41.87333876616598
12,,,,1359,32.06286182751095,
12,,,,1369,31.170126237539943,
12,,,,1379,32.93694395980032,
12,,,,1389,32.15951548134932,
12,,,,1399,32.323539141208954,
12,,,,1409,31.342173082966063,
12,,,,1419,32.54481210309698,
12,,,,1429,30.079090733376802,
12,,,,1439,32.72591368859402,
12,,,,1449,32.52687944232881,
12,,,,1459,32.42846680495042,
12,11.309967994689941,17.116758640361983,12.809615135192871,1468,,41.23634199912664
13,,,,1469,31.391368680664968,
13,,,,1479,30.46272248301991,
13,,,,1489,31.231696367829656,
13,,,,1499,31.84170224986789,
13,,,,1509,30.619291621934078,
13,,,,1519,30.853359547931504,
13,,,,1529,31.67004604222624,
13,,,,1539,32.613822648908865,
13,,,,1549,30.579598816930414,
13,,,,1559,31.29207234310538,
13,,,,1569,30.439644988330002,
13,,,,1579,30.88378338998055,
13,11.095932960510254,17.563595255619447,12.833965301513672,1581,,41.49349424243585
14,,,,1589,31.62562915950376,
14,,,,1599,30.753200429470724,
14,,,,1609,30.21096282651796,
14,,,,1619,30.274081491547303,
14,,,,1629,29.931198250327164,
14,,,,1639,32.32650333627315,
14,,,,1649,30.840266001671218,
14,,,,1659,31.637300270954313,
14,,,,1669,30.931195847378277,
14,,,,1679,30.85650029203908,
14,,,,1689,31.386843665851487,
14,11.081905364990234,16.97035542102403,12.746376037597656,1694,,40.798634077029895
15,,,,1699,30.642842987088624,
15,,,,1709,31.50813316005008,
15,,,,1719,31.675190799578424,
15,,,,1729,30.819389978472838,
15,,,,1739,30.41179095991898,
15,,,,1749,30.617578546755325,
15,,,,1759,30.760585581124392,
15,,,,1769,29.627057044246953,
15,,,,1779,30.250064395499116,
15,,,,1789,30.129922119029935,
15,,,,1799,30.427934058119,
15,10.774011611938477,17.2097336067058,12.79037094116211,1807,,40.774115740189686
16,,,,1809,32.014556861953935,
16,,,,1819,29.649676039463493,
16,,,,1829,31.10181502512813,
16,,,,1839,31.07913450576412,
16,,,,1849,30.703946309861514,
16,,,,1859,29.876499920266312,
16,,,,1869,30.797705219036725,
16,,,,1879,30.068492519989846,
16,,,,1889,29.93485844202708,
16,,,,1899,31.61553706949862,
16,,,,1909,30.00353625057116,
16,,,,1919,31.308382210312793,
16,10.844969749450684,16.98731559876097,12.594496726989746,1920,,40.42678257111205
17,,,,1929,30.38497398537273,
17,,,,1939,31.08161919454971,
17,,,,1949,30.080237906659903,
17,,,,1959,30.221895851680543,
17,,,,1969,31.33240990921317,
17,,,,1979,30.391621723398615,
17,,,,1989,29.25854103693129,
17,,,,1999,29.935239171065277,
17,,,,2009,30.74240243077497,
17,,,,2019,30.702934527886637,
17,,,,2029,30.55863661225309,
17,10.724390029907227,17.133681755512885,12.726994514465332,2033,,40.58506668135517
18,,,,2039,32.31483456030891,
18,,,,2049,32.492874151418874,
18,,,,2059,30.207166000380308,
18,,,,2069,31.071376314933786,
18,,,,2079,29.707481167985605,
18,,,,2089,30.810112579118528,
18,,,,2099,29.870656811742386,
18,,,,2109,32.560689732155666,
18,,,,2119,29.30398850967966,
18,,,,2129,29.511915560345813,
18,,,,2139,29.952094697221646,
18,10.791187286376953,17.248194983515997,12.71826457977295,2146,,40.75764719298865
