epoch,loss_global,loss_local,loss_normal,step,train_loss,val_loss
0,,,,9,17.83527441406671,
0,,,,19,17.482841578044905,
0,,,,29,17.10202442595081,
0,,,,39,16.529171746063778,
0,,,,49,15.68360707811302,
0,,,,59,15.248341805737901,
0,,,,69,14.749548845910065,
0,,,,79,14.125682939971195,
0,,,,89,13.411204691185556,
0,,,,99,13.1306663483172,
0,,,,109,12.221307110156882,
0,2.3642611503601074,4.163052715326534,5.086682319641113,112,,11.613995684648737
1,,,,119,11.635267154541047,
1,,,,129,11.769975371064032,
1,,,,139,10.793338188042616,
1,,,,149,10.807308641812895,
1,,,,159,10.847416507201178,
1,,,,169,10.305523869011822,
1,,,,179,9.554400162576052,
1,,,,189,9.81187173708012,
1,,,,199,9.627107109322285,
1,,,,209,9.354646500429173,
1,,,,219,9.080572887394426,
1,1.1288182735443115,3.1845233993178583,3.937465190887451,225,,8.25080662056267
2,,,,229,8.66134477665543,
2,,,,239,9.21597444762233,
2,,,,249,8.687393704098703,
2,,,,259,8.986544846421799,
2,,,,269,8.030164782912312,
2,,,,279,8.52248833267518,
2,,,,289,7.422815996490221,
2,,,,299,7.787386192809778,
2,,,,309,8.227413738635786,
2,,,,319,7.1904749702630415,
2,,,,329,7.869299581436584,
2,0.5940432548522949,2.5764412424086065,2.6939690113067627,338,,5.864453611087653
3,,,,339,7.217465554402397,
3,,,,349,8.310080263162998,
3,,,,359,7.063170164417809,
3,,,,369,6.9226430508282615,
3,,,,379,6.972348914187018,
3,,,,389,7.221068635338715,
3,,,,399,6.806106178949745,
3,,,,409,6.497773183138688,
3,,,,419,6.354035632047079,
3,,,,429,6.270706720980123,
3,,,,439,6.395149252353211,
3,,,,449,5.893995564587511,
3,0.2650623619556427,2.082920009626386,1.5778721570968628,451,,3.925854590667723
4,,,,459,6.383092385665103,
4,,,,469,7.237264333083859,
4,,,,479,5.7752144589987,
4,,,,489,6.343536784424348,
4,,,,499,5.907832535002532,
4,,,,509,6.372860977459741,
4,,,,519,6.100744431887619,
4,,,,529,5.74443136182531,
4,,,,539,5.628559097540094,
4,,,,549,5.676180653022744,
4,,,,559,5.807444342561865,
4,0.15721476078033447,1.8057230742292105,1.0701911449432373,564,,3.0331290026025477
5,,,,569,5.744823814294546,
5,,,,579,6.217999798793209,
5,,,,589,5.604380970976499,
5,,,,599,5.761333878978416,
5,,,,609,6.077512536538052,
5,,,,619,5.524635033696948,
5,,,,629,5.646183611455005,
5,,,,639,5.215421585701067,
5,,,,649,5.263907307134895,
5,,,,659,6.058118329277322,
5,,,,669,5.603107031046277,
5,0.099741131067276,1.5168196267298493,0.6789200305938721,677,,2.2954808125308785
6,,,,679,5.855373961674147,
6,,,,689,5.185609673566458,
6,,,,699,5.271551239272114,
6,,,,709,5.2155214348829615,
6,,,,719,5.0062385483042275,
6,,,,729,5.0803228011036685,
6,,,,739,6.137267188777457,
6,,,,749,4.88613310945559,
6,,,,759,5.212732870524176,
6,,,,769,4.69182015703474,
6,,,,779,4.842724294307869,
6,,,,789,5.532426387501996,
6,0.07188252359628677,1.2946189499266862,0.49266716837882996,790,,1.8591685897477384
7,,,,799,5.089468488769638,
7,,,,809,5.483042022784402,
7,,,,819,4.5508742182464585,
7,,,,829,4.462878307406053,
7,,,,839,5.0701772242198295,
7,,,,849,4.800346829890273,
7,,,,859,4.852521666102921,
7,,,,869,4.850694849502245,
7,,,,879,4.950528875394099,
7,,,,889,4.647600299417624,
7,,,,899,4.701671713434719,
7,0.060010939836502075,1.1245698363544556,0.42336785793304443,903,,1.607948617583713
8,,,,909,5.124668948401746,
8,,,,919,4.850272295893324,
8,,,,929,4.580406108343928,
8,,,,939,5.07213212709657,
8,,,,949,5.0677060939708936,
8,,,,959,5.040972369364971,
8,,,,969,4.498739135254343,
8,,,,979,4.557705541632626,
8,,,,989,4.199710863883087,
8,,,,999,4.879768003388214,
8,,,,1009,4.632606622169159,
8,0.05070548504590988,0.8982624474926716,0.3543988764286041,1016,,1.303366799579454
9,,,,1019,4.417079712458117,
9,,,,1029,4.698922372911837,
9,,,,1039,4.152402999927004,
9,,,,1049,4.518105742584293,
9,,,,1059,4.451688530429781,
9,,,,1069,4.351457872664619,
9,,,,1079,4.746418347234973,
9,,,,1089,4.626598837204325,
9,,,,1099,4.698815102674653,
9,,,,1109,4.2605719546869745,
9,,,,1119,4.520967323214437,
9,,,,1129,3.7420850642624366,
9,0.04984855279326439,0.8632679274367409,0.30636465549468994,1129,,1.2194811627703028
10,,,,1139,4.659295331303715,
10,,,,1149,4.2686453699168085,
10,,,,1159,4.21285630152655,
10,,,,1169,4.431342956636931,
10,,,,1179,4.191841681095271,
10,,,,1189,4.25520726547476,
10,,,,1199,4.581594036890608,
10,,,,1209,4.499508361316538,
10,,,,1219,4.3890559043260975,
10,,,,1229,4.296423527695363,
10,,,,1239,4.187239383787988,
10,0.04204564169049263,0.677074554420964,0.24297721683979034,1242,,0.9620974182411592
11,,,,1249,3.918129850110372,
11,,,,1259,4.123703208311414,
11,,,,1269,4.121950608684038,
11,,,,1279,4.2056568023126575,
11,,,,1289,4.295011957533314,
11,,,,1299,4.036568941238088,
11,,,,1309,4.120335823775754,
11,,,,1319,4.353793675596185,
11,,,,1329,4.122483136207919,
11,,,,1339,3.9954039851864893,
11,,,,1349,4.193302694747787,
11,0.03737113997340202,0.5655173794689544,0.22151976823806763,1355,,0.8244082943859466
12,,,,1359,3.7110504869889978,
12,,,,1369,3.968251649611662,
12,,,,1379,4.493265603248354,
12,,,,1389,3.8161029749008355,
12,,,,1399,3.741955819497832,
12,,,,1409,3.9278089804844956,
12,,,,1419,4.233732041656978,
12,,,,1429,4.20372881119894,
12,,,,1439,3.9144886437695066,
12,,,,1449,3.2235058665901453,
12,,,,1459,3.796043838759351,
12,0.034259259700775146,0.5014470465277623,0.20046095550060272,1468,,0.7361672474240254
13,,,,1469,3.708254181334789,
13,,,,1479,4.358050349329722,
13,,,,1489,3.8525759960680137,
13,,,,1499,3.963786720242257,
13,,,,1509,4.047520563124467,
13,,,,1519,4.075561126351167,
13,,,,1529,4.081404812071487,
13,,,,1539,4.2475122006385835,
13,,,,1549,3.7978206790348414,
13,,,,1559,4.022843437967645,
13,,,,1569,3.943298231364989,
13,,,,1579,3.568267166732867,
13,0.031412042677402496,0.4685010230609566,0.16789095103740692,1581,,0.667804026014486
14,,,,1589,3.893305173439788,
14,,,,1599,3.9901124802025314,
14,,,,1609,3.8302924370439237,
14,,,,1619,3.8142048411764247,
14,,,,1629,3.624324768148021,
14,,,,1639,3.9776876918286383,
14,,,,1649,3.900126517039575,
14,,,,1659,3.455219014668817,
14,,,,1669,3.5573678255380647,
14,,,,1679,3.63652379029702,
14,,,,1689,3.8312254579283085,
14,0.03456803783774376,0.3846784419829659,0.1747559756040573,1694,,0.5940024604911617
15,,,,1699,3.868369802942512,
15,,,,1709,3.9284207374387474,
15,,,,1719,3.9779579375971084,
15,,,,1729,3.8801933505951203,
15,,,,1739,3.3956982663713275,
15,,,,1749,4.059413853818311,
15,,,,1759,3.728775547771379,
15,,,,1769,3.9464349991259198,
15,,,,1779,3.7910414909100045,
15,,,,1789,3.78077202803474,
15,,,,1799,3.672777398032648,
15,0.02696501649916172,0.277242801573762,0.1310189664363861,1807,,0.435226789054164
16,,,,1809,3.496198235782933,
16,,,,1819,3.8313399801231047,
16,,,,1829,3.3651488951132955,
16,,,,1839,3.679670593839618,
16,,,,1849,3.74085714623578,
16,,,,1859,3.8377319531335647,
16,,,,1869,3.6450552470854656,
16,,,,1879,3.654007753096504,
16,,,,1889,3.602112196566291,
16,,,,1899,4.068229074672975,
16,,,,1909,3.804557669548614,
16,,,,1919,3.6293363053805674,
16,0.026875684037804604,0.29084727683567907,0.13145393133163452,1920,,0.4491768924286355
17,,,,1929,3.6774941237214938,
17,,,,1939,3.683142723505769,
17,,,,1949,3.8793614938486125,
